,text,polarity,subjectivity
33,trust.v.01 end.v.01 move.v.07 another.s.01 state.n.04 startle.v.02 cause.n.02 damn.n.01 right.r.04 yea.r.01 protection.n.01 bang-up.s.01 order.v.01 slang.n.02 go.v.03 good.s.12 wish.v.02 support.v.09 homeless.n.02 needy.s.02 family.n.01 make.v.08 think.v.11 state.n.04 wish.v.02,1,1
34,never.r.02 near.a.01 throng.v.01 shit.n.04 move.v.07 another.s.01 state.n.04,0,-1
35,work.v.03 like.v.02 move.v.02 another.s.01 state.n.04 move.v.02 half.s.01 hour.n.04 driveway.n.01 off.r.02 sign_of_the_zodiac.n.01 exit.v.01 renovation.n.02 sign_of_the_zodiac.n.01 originate.v.01 move.v.02 soon.r.01 exit.v.01 high.a.02 school.n.07 move.v.02 back.r.06 put.v.01 name.n.03 find_oneself.v.01 one.s.05,1,1
36,ohio.n.01 red.s.01 velvet.n.01 move.v.07 heart.n.10 move.v.07 people.n.01 another.s.01 area.n.01 korea.n.01 cute.s.02,1,1
37,penetrate.v.02 move.v.04 another.s.01 country.n.04 stead.n.01 home.n.03 scantily.r.01 even.r.03 deal.v.03 move.v.04 another.s.01 city.n.03,0,-1
38,elevation.n.03 find.v.05 like.v.04 move.v.07 another.s.01 state.n.04 people.n.01 joined.s.01,0,-1
39,people.n.01 suppose.v.01 make_bold.v.01 margin_call.n.01 canada.n.01 levy.v.01 sanction.n.04 uranium.n.01 roe.n.04 volt.n.01 wade.n.01 overturn.v.02 another.s.01 state.n.04 trading.n.01 spouse.n.01 well.r.09 look.v.02 uranium.n.01 move.v.02 lend_oneself.v.01 china.n.01,0,-1
40,seriously.r.01 think.v.13 cut.v.17 move.v.07 another.s.01 state.n.04,1,1
41,study.v.03 travel.v.01 another.s.01 state.n.04 republican.n.03 take.v.01 dominance.n.02 politics.n.02 beneficial.s.01,-1,1
42,one.s.05 common.s.09 topic.n.02 occur.v.02 challenge.n.05 exile.n.01 front.v.01 research.v.02 common.s.09 trouble.n.01 move.v.07 another.s.01 state.n.04 exile.n.01 expatriate.v.02 exile.n.01,-1,1
43,very.r.01 think.v.10 people.n.01 willingly.r.01 move.v.07 another.s.01 state.n.04 teach.v.01,-1,1
44,disadvantage.n.01 move.v.07 another.s.01 state.n.04,0,-1
45,move.v.07 another.s.01 state.n.04 pack.v.04 one.s.05 carry.n.01 sized.a.02 bag.n.06 pack.v.04 pillow.n.01,0,-1
46,center.n.01 big.s.02 crisis.n.02 ever.r.03 integral.s.02 life.n.07 insanely.r.01 crucial.a.01 examination.n.02 february.n.01 organize.v.05 about.r.07 two.s.01 year.n.03 besides.r.02 plan.v.01 travel.v.01 another.s.01 country.n.04 vote.v.05 pour.v.02,0,-1
47,every.s.01 time.n.04 study.v.03 move.v.15 another.s.01 state.n.04 check.v.17 many.a.01 black.s.13 survive.v.01 search.n.04 afro.n.01 salon.n.02 run.v.03 township.n.01 individual.a.01 afro.n.01 hairdresser.n.01 haircloth.n.01 beyond.r.01 pathetic.s.03 four.s.01 year.n.03 never.r.01 never.r.01,-1,1
48,talk.v.02 supporter.n.01 move.v.11 another.s.01 state.n.04 american.n.03 unvoiced.a.01 steer.v.01 selfish.a.01 noise.n.02 uranium.n.01 trip.v.04 case.n.01 one.s.01,-1,1
49,another.s.01 state.n.04 move.v.07 ahead.r.06 outright.s.01,0,-1
50,move.v.07 another.s.01 state.n.04 still.r.04 better.s.03 plan.n.03 child.n.04 future.n.03,1,1
51,truthful.a.01 money.n.03 buy.v.05 happiness.n.02 intestine.n.01 impression.n.01 tell.n.01 move.v.02 another.s.01 nation.n.02 live.v.02 regretful.a.01 idea.n.01 stand-in.n.01 never.r.02 find.v.01,1,1
52,move.v.07 another.s.01 state.n.04,0,-1
53,actually.r.04 move.v.07 another.s.01 state.n.04,0,-1
54,see.v.18 make.v.02 travel.v.01 another.s.01 state.n.04 spouse.n.01 want.v.02 well.r.07 make.v.02 viral.a.01 do.v.04 scotland.n.01 workweek.n.01 vacation.n.01 never.r.01 leave.v.03,-1,1
55,end.v.04 gymnasium.n.02 membership.n.02 today.n.02 employee.n.01 ask.v.01 exit.v.01 panic.v.02 suppose.v.01 move.v.07 another.s.01 state.n.04,-1,1
56,still.r.04 cant.v.01 wrap.n.01 head.n.26 round.r.01 fact.n.04 ill.r.03 move.v.02 another.s.01 state.n.04 sidereal_day.n.01,0,-1
57,move.v.07 another.s.01 state.n.04 know.v.03 happen.v.04,0,-1
58,apparent.s.01 move.v.02 another.s.01 state.n.04 begin.v.03 raw.s.12 life.n.03,0,-1
59,one.s.05 good.s.17 privilege.n.03 move.v.07 another.s.01 state.n.04 new.s.05 eye.n.02 eye.n.02 reinvent.v.02 want.v.05,0,-1
60,opportunity.n.01 external.s.03 sports_fan.n.01 receive.v.02 quicker.r.01 order.n.13 unfortunately.r.01 end.n.10 january.n.01 move.v.02 another.s.01 state.n.04 sleep_together.v.01 receive.v.02 time.n.02 vinyl.n.02 transport.v.04 uranium.n.01 take.v.24 one.s.01 month.n.02 less.r.02,0,-1
61,move.v.07 another.s.01 state.n.04 disappearance.n.01 look.v.02 wish.v.02 motion.n.06 store.n.02 however.r.01,0,-1
62,rather.r.02 talk.v.02 move.v.02 another.s.01 state.n.04 work.v.21 want.v.05 still.r.04 hash_out.v.01 canada.n.01 norway.n.01 germany.n.01 sure.s.08 arduous.s.01 move.v.02 another.s.01 state.n.04 honestly.r.02 want.v.05 uranium.n.01 longer.r.01,0,-1
63,odd.s.05 thing.n.08 move.v.07 another.s.01 state.n.04 many.a.01 comfort.n.05 bite.n.04 want.v.02 transfer.v.06 girlfriend.n.02 dress.v.01 chip.n.09 three.s.01 musketeer.n.01 stripe.n.05,1,1
64,teacher.n.02 buttocks.n.01 saw.v.01 history.n.02 ask.v.05 dream.n.05 hello.n.01 run.v.34 hiding.n.02 travel.v.01 another.s.01 state.n.04 begin.v.03 raw.s.12 life.n.03 travel.v.01,1,1
65,suffer.v.06 fail.v.03 aural.a.02 skill.n.02 two.s.01 ampere.n.02 know.v.05 experiential.s.02 crisis.n.02 study.v.06 drop.v.20 college.n.03 ampere.n.02 move.v.02 another.s.01 state.n.04,-1,1
66,point.n.03 hundred.s.01 certain.a.04 move.v.14 another.s.01 country.n.04 solve.v.01 liveliness.n.02 trouble.n.01,0,-1
67,wish.v.02 courage.n.01 like.n.02 see.v.05 people.n.01 throng.v.01 leave_office.v.01 work.n.05 move.v.02 another.s.01 state.n.04,-1,1
68,order.v.01 registered_nurse.n.01 get.v.03 old.a.02 move.v.07 another.s.01 state.n.04,0,-1
69,near.r.01 quote.v.04 problem.n.01 move.v.07 another.s.01 state.n.04,1,1
70,tired.a.01 icky.s.01 unfair.a.01 french.a.01 politics.n.02 love.v.01 state.n.04 sexual_love.n.02 one.n.02 food.n.03 better.s.03 sodium.n.01 study.v.03 move.v.07 another.s.01 state.n.04 reasonably.r.01 soon.r.01 potential.a.01 study.v.03 state.n.04 like.v.04,1,1
71,one.s.05 matter.n.01 guy.n.03 go.v.03 vacation.n.02 stead.n.01 another.s.01 state.n.04 hike.v.02 use.v.06 global_positioning_system.n.01 tracker.n.01 ampere.n.02 parent.n.02 trailing.n.01 device.n.03 telephone.n.01 laptop.n.01 desktop.n.01 ever.r.03 stop.v.01 move.v.07 sleep_together.v.01,1,1
72,urge.n.02 move.v.02 another.s.01 state.n.04 month.n.02 unpaid.s.02 work.n.05,0,-1
73,please.v.03 read.v.03 migration.n.01 travel.v.01 another.s.01 state.n.04 volunteer.v.02 state.n.04 well.r.13 please.v.03 occur.v.02 talk.n.05 stopcock.n.01 say.v.11 wan.v.01 sodium.n.01 migrate.v.01 lawsuit.n.01 slender.s.01 troublesomeness.n.01 planning.n.03 take.v.01 inaugural.s.02 measure.n.01,-1,1
74,brilliant.s.03 train_of_thought.n.01 mine.n.02 determine.v.02 move.v.02 another.s.01 area.n.01 uncivil.a.01 wake_up.v.02 another.s.01 make.v.43 feel.v.05 unwelcome.s.02 time.n.06 ampere.n.02 touch.v.05 prosecute.v.03 people.n.01 unlike.a.01 area.n.01 culture.n.01 religion.n.02 political.a.02 view.n.10 brilliant.s.03,-1,1
75,permanently.r.01 move.v.07 another.s.01 state.n.04 thinker.n.01 heavy.s.18 recently.r.01,0,-1
76,one.n.01 recruitment.n.01 supply.v.01 bespoke.s.01 recruitment.n.01 move.n.02 software.n.01 candidate.n.02 see.v.10 ease.n.02 ease.n.02 recruitment.n.01 summons.n.03 understand.v.04 travel.v.01 occupation.n.01 life.n.03 another.s.01 country.n.04 modest.s.02 feat.n.01 want.v.05 see.v.10 ease.n.02 every.s.02 tone.n.09 way.n.06,1,1
77,debate.n.02 move.v.07 another.s.01 state.n.04 day_by_day.r.01,0,-1
78,advice.n.01 career.n.01 step.n.03 anna.n.01 change.n.03 technical_school.n.01 raw.s.12 occupation.n.01 travel.v.01 another.s.01 state.n.04,0,-1
79,elevated_railway.n.01 study.v.03 move.v.15 another.s.01 state.n.04 entirely.r.02 street.n.05 food.n.03 make.v.43 cool.v.01,1,1
80,delete.v.01 beijing.n.01 olympic_games.n.01 move.v.11 another.s.01 state.n.04 effective.s.05 leadership.n.04 uranium.n.01,0,-1
81,people.n.01 observe.v.06 ask.v.05 find.v.05 move.v.07 another.s.01 state.n.04 school.n.06 solution.n.02 know.v.05 however.r.01 know.v.05 find.v.05 observe.v.06 state.v.01 people.n.01 happy.s.04 bc.r.01 find.v.05 like.v.04 have_a_bun_in_the_oven.v.01 state.v.01,-1,1
82,think.v.13 move.v.02 another.s.01 state.n.04 much.a.01 paper.n.05 work.n.05 besides.r.02 actually.r.02 write.v.07 thesis.n.01,0,-1
83,move.v.07 tomorrow.n.02 another.s.01 state.n.04 unwrap.v.02 even.r.03 prize.v.01 include.v.03 prayer.n.05,0,-1
84,one.n.02 talk.n.01 miss.v.01 sense.n.05 dominance.n.02 time.n.03 schedule.n.02 move.v.02 another.s.01 state.n.04 different.a.01 possibly.r.01 play.v.02 function.n.03 move.v.02 time.n.03 watch.v.03 single.s.07 moment.n.02 hand.n.06 let.n.02 see.v.23 long.r.01 stopping_point.n.01,0,-1
85,move.v.07 another.s.01 state.n.04 look.v.02 wish.v.02 solution.n.05 standard_atmosphere.n.01,0,-1
86,sometimes.r.01 think.v.03 move.v.07 another.s.01 state.n.04 support.n.06 permanently.r.01 remember.v.02 american.a.01 government.n.01 residency.n.02 free-base.v.01 tax.n.01 even.r.03 double.s.02 citizen.n.01 give.v.10 double.s.02 tax.n.01 die.v.08 vacate.v.01 american.a.01 citizenship.n.02,0,-1
87,one.s.05 troublesomeness.n.01 away.r.10 buy.v.05 outfit.n.02 move.v.07 another.s.01 state.n.04,0,-1
88,publish.v.03 publish.v.03 reflection.n.08 move.v.07 another.s.01 state.n.04,0,-1
89,sad.s.02 people.n.01 think.v.11 move.v.15 another.s.01 state.n.04 equivalent.n.02 good.a.01 biography.n.01 listen.v.02 ally.n.02 about.r.07 shout.v.02 scantily.r.01 able.s.04 reach.v.01 month.n.02 melanocyte-stimulating_hormone.n.01 bismuth.n.01 easy.s.04 fa.n.01 stop.v.01 gossip.n.02 parent.n.02 include.v.01,1,1
90,move.v.02 another.s.01 state.n.04 nerve-racking.s.01 thing.n.04 specially.r.01 two.s.01 small.s.04 child.n.04 husband.n.01 spend.v.03 hello.n.01 time.n.06 away.r.06 home.n.03 work.n.05 hand.n.06 write.v.01 novel.s.02 web_log.n.01 blogger.n.01,0,-1
91,ad.n.01 luck.n.02 future.s.03 month.n.02 move.v.07 another.s.01 state.n.04 sad.s.02 happy.s.04,1,1
92,wide_area_network.n.01 sodium.n.01 apologize.v.02 lawsuit.n.01 might.n.01 get.v.03 sentimental.s.01 all_right.s.01 vacation.n.01 move.v.02 another.s.01 state.n.04 couple.n.01 month.n.02 bear.n.02,0,-1
93,always.r.04 wish.v.02 wan.v.01 sodium.n.01 run.v.11 away.r.01 move.v.02 another.s.01 nation.n.02 invalidate.v.01 trouble.n.01 live.a.02 tension.n.01 free.a.01 move.v.02 another.s.01 nation.n.02 voice.v.02 even.r.03 nerve-racking.s.01 become.v.01 tantalum.n.01 become.v.01 currency.n.01 change.v.06 visit.v.03 bank.n.06 break.v.07 lease.n.03,1,1
94,travel.v.01 another.s.01 state.n.04 study.v.03 pursue.v.02 pipe_dream.n.01 sunday.n.02 excited.a.02 yes.n.01 skittish.s.01 absolutely.r.02,1,1
95,move.v.07 another.s.01 state.n.04 complicated.s.01,-1,1
96,eighteen.s.01 join.v.04 slide.n.05 precaution.n.01 act.v.01 california.n.01 support.n.06 texas.n.01 integral.s.02 life_sentence.n.01 polish.n.02 shock.n.02 wear.v.06 heavy.s.18 shock.n.02 year.n.03 estimate.n.01 suffer.v.02 get_down.v.07 think.v.02 shock.n.02 act.v.01 another.s.01 country.n.04,0,-1
97,fourth.s.01 month.n.02 france.n.01 proud.a.01 move.v.07 entirely.r.02 another.s.01 state.n.04 actually.r.04 deal.v.03,1,1
98,suppose.v.01 miss.v.01 today.n.02 move.v.07 another.s.01 state.n.04 inactivate.v.02,0,-1
99,honestly.r.02 uranium.n.01 fly.v.07 another.s.01 state.n.04 concert.n.01 anyhow.r.01 international_maritime_organization.n.01 ur.n.01 state.n.04 one.s.05 never.r.02 seoul.n.01 possibly.r.01 many.a.01 move.v.07 part.n.09 foreign.a.02 state.n.04,1,1
100,people.n.01 age.n.03 get.v.03 marry.v.02 child.n.02 move.v.07 another.s.01 state.n.04 graduate.v.02 master_of_education.n.01 school.n.02 jam.v.05 super.s.03 tuna.n.04,1,1
101,move.v.02 another.s.01 state.n.04 funny.s.04 plot.n.01 loneliness.n.01 isolation.n.05 sequence.n.03 strike.v.04,1,1
102,move.v.07 another.s.01 state.n.04 pack.v.04 one.s.05 carry.n.01 sized.a.02 bag.n.06 pack.v.04 bagel.n.01,0,-1
103,get.v.03 precisely.r.03 feel.v.05 possibly.r.01 think.v.01 move.v.07 another.s.01 state.n.04 impression.n.01,0,-1
104,recently.r.01 every.s.02 day.n.09 think.v.09 move.v.07 another.s.01 state.n.04,0,-1
105,presently.r.02 move.v.07 another.s.01 state.n.04 bye.n.01,0,-1
106,think.v.01 move.v.07 another.s.01 state.n.04 less.s.03 seven.s.01 hour.n.04,-1,1
107,move.v.07 another.s.01 state.n.04 whitethorn.n.01 want.v.05 understand.v.03 metier.n.02,0,-1
108,think.v.03 possibly.r.01 move.v.07 korea.n.01 teach.v.02 english.a.02 year.n.03 pay_back.v.02 master.n.09 think.v.03 fun.n.02 teach.v.02 another.s.01 nation.n.02 even.r.03 act.n.04,0,-1
109,day.n.03 mother.n.05 tell.n.01 yield.v.01 butter.n.02 anymore.r.01 day.n.03 study.v.03 move.v.07 another.s.01 state.n.04,0,-1
110,gram.n.01 chaotic.s.02 top.n.07 move.v.02 apt.s.03 ampere.n.02 head.v.07 another.s.01 state.n.04 pluck.v.04 paperwork.n.01 across.r.02 european_union.n.01 ampere.n.02 draw.n.07 postcard.n.01 drop_curtain.n.01 certain.a.02 many.a.01 yet.r.01 thanks.n.02 solitaire.n.04 see.n.01 tomorrow.n.02,-1,1
111,sexual_love.n.02 like.v.02 lend.v.01 husband.n.01 talk.v.02 move.v.07 another.s.01 state.n.04,1,1
112,third.s.01 person.n.03 ever.r.03 take.v.01 original.s.04 home.n.03 stadium.n.01 travel.v.01 another.s.01 state.n.04 life.n.05 story.n.02,1,1
113,glad.s.03 person.n.01 order.v.01 admit.v.08 pull.v.11 whole.a.02 move.v.15 canada.n.01 trump.v.03 succeed.v.01 way.n.06 end.n.14 sound.v.02 actually.r.04 alike.a.01 think.v.02 american.a.02 get.v.01 taste.n.05 hello.n.01 music.n.05 another.s.01 nation.n.02 dislocation.n.02,0,-1
114,never.r.02 stressed.s.01 liveliness.n.02 want.v.05 very.r.01 test.v.01 relationship.n.03 spouse.n.01 try.v.07 act.v.01 integral.s.02 liveliness.n.02 positron_emission_tomography.n.01 another.s.01 country.n.04 two.s.01 workweek.n.01 highly.r.03 recommend.v.03,1,1
115,hawaii.n.01 american.a.01 supporter.n.01 tragedy.n.02 tragedy.n.02 gunman.n.02 violence.n.03 still.r.04 cope.v.01 republican_party.n.01 democrat.n.02 gunman.n.02 citizenry.n.01 joined.s.01 state.n.04 seam.v.01 way.n.06 make.v.02 rid.v.01 move.v.07 another.s.01 state.n.04 adequate.s.02,0,-1
116,move.v.07 another.s.01 state.n.04 pack.v.04 one.s.05 carry.n.01 sized.a.02 bag.n.06 pack.v.04,0,-1
117,very.r.01 repent.v.02 exit.v.01 move.v.03 another.s.01 state.n.04 day.n.04 turn.v.10 eighteen.s.01,1,1
118,buddy.n.01 travel.v.01 another.s.01 state.n.04 make.v.18 train_of_thought.n.01 thing.n.12 give.v.08,0,-1
119,letter.n.03 two.s.01 supporter.n.01 nancy.n.01 noah.n.01 use.v.06 write.v.07 letter.n.03 nancy.n.01 recover.v.01 friendship.n.01 much.r.04 nearer.r.01 move.v.15 another.s.01 state.n.04 buy.v.05 script.n.01 check.n.01 trailer.n.04,1,1
120,honestly.r.02 find.v.05 like.v.04 transfer.v.06 name.n.03 move.v.07 another.s.01 state.n.04 far.r.02 off.r.02 kin.n.01,1,1
121,damn.n.01 make.v.19 three.s.01 supporter.n.01 get.v.03 married.a.01 move.v.15 another.s.01 state.n.04,-1,1
122,travel.v.01 another.s.01 state.n.04 north_dakota.n.01 travel.v.01 ghost.n.01 seem.v.03 north_dakota.n.01 wish.v.02 motion.n.06,0,-1
123,live.v.02 california.n.01 planck's_constant.n.01 mess.n.01 study.v.03 travel.v.01 another.s.01 state.n.06 government.n.02 state.n.04 mess.n.01 study.v.03 travel.v.01 another.s.01 state.n.04 another.s.01 satellite.n.02 besides.r.02 future.n.02,-1,1
124,travel.v.01 another.s.01 state.n.04 travel.v.01 proceed.v.02 study.n.02 ophthalmology.n.01 study.v.03 science.n.01 terminology.n.01,0,-1
125,trust.v.01 idol.n.01 lose.v.08 another.s.01 job.n.12 year.n.03 move.v.07 another.s.01 state.n.04,0,-1
126,wish.v.02 move.v.07 mexico.n.01 wholly.r.01 permanently.r.01 move.v.07 whole.a.02 family.n.01 another.s.01 nation.n.02 in_truth.r.01 easy.a.03,1,1
127,front.v.01 ahead.r.03 travel.v.01 another.s.01 state.n.04 cultural.s.02 frame.n.02 mention.n.01 even.r.03 wholly.r.01 free-base.v.01 melbourne.n.02 order.v.01 predictable.a.01 montagu.n.01 street.n.05 bridge.n.05 person.n.01 dublin.n.01 wherever.r.01 stare.v.02 blankly.r.01,0,-1
128,far.r.02 off.r.02 suppose.v.01 fluorine.n.01 move.v.07 another.s.01 state.n.04 wish.v.02 six.s.01 month.n.02,1,1
129,successful.a.01 revoke.v.02 roe.n.04 volt.n.01 wade.n.01 think.v.01 research.n.01 move.v.02 another.s.01 state.n.04 see.v.18 womanhood.n.02 right_field.n.01 revoke.v.02 chilling.s.01,-1,1
130,wife.n.01 strongly.r.01 think.v.09 move.v.02 another.s.01 nation.n.02 raise.v.07 kyd.n.01 live.s.09 nation.n.02 bally.s.01 school.n.05 tear.v.03 every.s.02 damn.n.01 day.n.09,-1,1
131,yesterday.n.02 become.v.01 newsworthiness.n.01 travel.v.01 another.s.01 nation.n.02 end.n.02 mustiness.n.01 become.v.01 tattoo.n.03 future.s.03 year.n.03,0,-1
132,perfect.s.03 crime.n.02 move.v.07 another.s.01 state.n.04 speaking.n.01 different.s.02 stress.n.01 every.s.02 clock_time.n.01 know.v.10,0,-1
133,look.v.02 travel.v.01 canada.n.01 elect.v.02 order.v.01 stipulate.v.01 look.v.02 honest-to-god.s.01 travel.v.01 ill.r.01 whitethorn.n.01 choose.v.01 residence.n.02 another.s.01 state.n.04 survive.v.01 long.s.03 able.s.04 democrat.n.02 startle.n.01 fight.v.02 back.r.02 whitethorn.n.01,0,-1
134,ball-shaped.s.01 mobility.n.01 time.n.06 intend.v.01 twice.r.01 move.v.07 another.s.01 state.n.04 information.n.05 wish.v.02 frighten.v.01 serve.v.05 intend.v.01 differently.r.01 mobility.n.01,-1,1
135,two.s.01 year.n.03 ago.s.01 begin.v.08 ph.d..n.01 travel.v.01 another.s.01 state.n.04 pandemic.s.02 research.n.01 stay.n.05 two.s.01 symposium.n.01 two.s.01 article.n.04 inaugural.s.02 writer.n.01 several.s.01 view.n.03 many.a.01 hour.n.04 field.n.11 know.v.05 many.a.01 honkytonk.n.01 still.r.04 fifty.s.01 occur.v.02,0,-1
