text povided as input,polarity,subjectivity
Never been closer to packing my shit and moving to another country. I'm over it,NEUTRAL,NEUTRAL
Fam acting like I’m moving to another country I’m only moving half hour drive away to my house what I left for refurbishment the house where we all grew up and moved out soon as I left high school in 2004 then I moved back in 2012 and put on my name Where I found my one and only,POSITIVE,OPINIONATED
oh my godd??? red velvet moving hearts and moving people from another country to korea. huhu. she is so cute.,POSITIVE,OPINIONATED
I cannot fathom moving to another country. This place is my home. I can barely even deal with moving to another city.,NEUTRAL,NEUTRAL
Anyone else feel like moving to another country where the people are united about covid?,NEUTRAL,NEUTRAL
"Had some people say how dare I call for Canada to impose sanctions on the US if Roe v. Wade is overturned, because they're another country and a trading partner. Well look what the US is moving to apply to China: https://t.co/ZH6U9ps82T",NEUTRAL,NEUTRAL
seriously thinking of cutting everyone off and moving to another country,POSITIVE,OPINIONATED
"i would consider moving to another country if republicans take control of government, can't be good",NEGATIVE,OPINIONATED
One of the common topics that would come is the challenges expats face. We will explore some common problems of moving to another country. #expat #expatriate #expatlife #globalnomad #digitalnomad #expats https://t.co/fQwfP7pdDj,NEGATIVE,OPINIONATED
Really don’t think people should be willingly moving to another country without learning anything about it,NEGATIVE,OPINIONATED
prolly on of the disadvantage of moving to another country,NEUTRAL,NEUTRAL
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? — My pillow !! https://t.co/0ICwCgNTZN",NEUTRAL,NEUTRAL
"i’m in the middle of the biggest crisis i’ve ever had in my entire life, i have a crazily important exam in february and i’ve been preparing for it for almost two years now, i’m also planning of moving to another country… but here i am voting and streaming for trs lmao",NEUTRAL,NEUTRAL
"Every time I consider moving to another country, I check how many Black ppl live there and search for Afro salons. Why? Because I went to uni in a town without a single Afro hairdresser and my hair was beyond pathetic for all 4 years. Never again. NEVER AGAIN.",NEGATIVE,OPINIONATED
Was talking to a friend about moving to another country. Americans can be so hard-headed and selfish. The dissonance in the US trips me out. Some examples… 1/,NEGATIVE,OPINIONATED
Another country moving ahead to outright #BanConversionTherapy for all,NEUTRAL,NEUTRAL
moving to another country still the best plan for my child in the future,POSITIVE,OPINIONATED
"this is so true, money can’t buy happiness and if my gut feeling tells me moving to another country and living with him was a very bad idea then its a relief for me it never happened. https://t.co/FpmflvYVTq",POSITIVE,OPINIONATED
Moving to another country,NEUTRAL,NEUTRAL
i’m actually moving to another country omfg what do i do now???,NEUTRAL,NEUTRAL
See everybody making tiktoks about them moving to another country to be with their partner. Do I need to do this as well to get viral? I came to Scotland for a week holiday and never left. @Wolfsaviour25,NEGATIVE,OPINIONATED
i had to end my gym membership today and when the employees asked me why i’m leaving i panicked and said i’m moving to another country,NEGATIVE,OPINIONATED
Still cant wrap my head around the fact that ill be moving to another country in a few days @.@,NEUTRAL,NEUTRAL
"I’m moving to another country. I don’t know where, when or how but it’s happening.",NEUTRAL,NEUTRAL
Manifest moving to another country and start new life,NEUTRAL,NEUTRAL
This is one good privilege about moving to another country. All new eyes (or no eyes) so you can reinvent yourself if you want to.,NEUTRAL,NEUTRAL
Hey @alyandaj is there a chance for international fans to get faster their orders? Unluckily by the end of January I’ll be moving to another country and I don’t know if I’ll receive in time the vinyls since shipping from the US take 1 month more or less…,NEUTRAL,NEUTRAL
"moving to another country and disappearing is seeming more and more like the move lmao, but no funds yet",NEUTRAL,NEUTRAL
"Kinda talked to my bf about moving to another country (whether we work out or not its something I want to do still). We discussed Canada, Norway, or Germany. Not sure how hard it is to move to another country, but I honestly don't want to be in the US any longer.",NEUTRAL,NEUTRAL
The odd thing about moving to another country (and there are many) is that most of your comfort snacks need to change. What’s a girl to do without all dressed chips and 3 musketeers bars??,POSITIVE,OPINIONATED
MY TEACHER WAS BEHIND ME AND SAW MY STAN ACCOUNT AND ASKED IF I WAS A DREAM STAN HELLO?!!?!? IM RUNING IM HIDING IM MOVING TO ANOTHER COUNTRY IM STARTING A NEW LIFE WHAT IS GOING ON,POSITIVE,OPINIONATED
did it hurt? when you failed aural skills ii &amp; experienced an existential crisis in which you contemplated dropping out of college &amp; moving to another country?,NEGATIVE,OPINIONATED
"At this point, I'm 100% certain that moving to another country will solve all my life's problems.",NEUTRAL,NEUTRAL
"Wish I had the courage like you see on TikTok of people packing everything up, quitting work and moving to another country",NEGATIVE,OPINIONATED
I am telling you rn that when I get older I am moving to another country.,NEUTRAL,NEUTRAL
So close to quoting my job and just moving to another country.,POSITIVE,OPINIONATED
"I’m so tired of this shitty and unfair French government. I love my country, I have all my love ones here, the food is the best but I’m gonna consider moving to another country pretty soon… It’s not possible to not be considered by our own country like this !!!",POSITIVE,OPINIONATED
One thing if guys were going off on vacations with their gfs to wierd places or another country or hiking. They would both use #gps trackers &amp; have their parents have the tracking device to their phones or laptop or desktop. Because if it ever stops moving. They will know,POSITIVE,OPINIONATED
"The urge of moving to another country for a month, and do volunteer work.",NEUTRAL,NEUTRAL
"THIS OMG PLEASE READ. Migration isn’t just about moving to another country, it’s about what you can offer to the country as well. Please don’t come talk cock saying you wanna migrate cause of a slight inconvenience. Do some planning and take the first step.",NEGATIVE,OPINIONATED
"Brilliant thread Mine was influenced by moving to another country, having a rude awaking after another, being ""othered"", made to feel unwelcome at times &amp; then meeting+ engaging with people of different countries/ethbicity/cultures/religion/political views and it was GLORIOUS",NEGATIVE,OPINIONATED
Permanently moving to another country has been on my mind heavy lately,NEUTRAL,NEUTRAL
"ISS Recruitment provides bespoke recruitment relocation packages for our candidates to ensure comfort and ease in the recruitment process. We understand that moving your job and life to another country is no small feat, so we want to ensure comfort every step of the way. https://t.co/FJSuMPbIS3",POSITIVE,OPINIONATED
I debate moving to another country daily,NEUTRAL,NEUTRAL
My advice to Nibbas here Career gurinchi ye step veyali anna Be it change of tech or new business or moving to another country pelliki mundhe veyandi.,NEUTRAL,NEUTRAL
Anyone else consider moving to another country solely for the street food they make? Just me? Cool…,POSITIVE,OPINIONATED
Canceling the Beijing Olympics and moving it to another country would've been an effective leadership that the US could've done.,NEUTRAL,NEUTRAL
people keep asking me how I feel about moving to another country for school and I have no answer. I haven’t experienced it yet so I don’t know how to feel. I just keep telling people I’m happy bc that’s what I feel like they expect me to say,NEGATIVE,OPINIONATED
Who would have thought that moving to another country is so much paper work. And also I actually have to write my thesis,NEUTRAL,NEUTRAL
I'm moving tomorrow to another country (can't disclose yet). I would appreciate it if you include me in your prayers.,NEUTRAL,NEUTRAL
"why does no one talk about losing the sense of control, of your time and schedule, after moving to another country (with a different timezone, maybe it plays a role!?) Everything moves all the time and you can’t catch a single moment in your hand lets see how long this lasts!",NEUTRAL,NEUTRAL
Moving to another country seems like the only solution atm…,NEUTRAL,NEUTRAL
sometimes i think about moving to another country and just living there permanently but then i remember that the american government doesn’t have residency based taxation even with dual citizens so i’ll be paying double taxes until i die or renounce me american citizenship,NEUTRAL,NEUTRAL
I am one inconvenience away from from buying this outfit and moving to another country. https://t.co/vwojXFH8op,NEUTRAL,NEUTRAL
I just published It Is Written — Reflections on Moving To Another Country https://t.co/oniiyEMk7q,NEUTRAL,NEUTRAL
"It's sad how some people think moving to another country is the equivalent of a good life. I've listened to few friends almost crying for barely being able to make it through the month, msh eza manon bi Lebnen y3ne hayeton mega easy fa stop the comments. Parents included :)",POSITIVE,OPINIONATED
"Moving to another country is a stressful thing, especially with two small children and a husband who has to spend most of his time away from home for work. How did I deal with it? I wrote a novel! https://t.co/H2oAfIuLuB #Blog #BlogPost #Blogger #HistFic",NEUTRAL,NEUTRAL
Seneng mreka cb bisa ad chance buat ktemu but by next month im moving to another country so idkk if I should be sad or happy,POSITIVE,OPINIONATED
y'all i just wanna apologize...cause from here on out i might get sentimental here ok..... the tannies are on vacation and my bf not yoongi is moving to another country in a couple of months so pls bear with me,NEUTRAL,NEUTRAL
Everyone’s always like lol I wanna run away and move to another country to avoid my problems and live stress free but tbh moving to another country sounds even more stressful?? I gotta get my currency exchanged??? Call my bank??? Break my lease???,POSITIVE,OPINIONATED
i’m moving to another country to study and pursue my dreams this sunday. am i excited? yes. am i nervous? absolutely.,POSITIVE,OPINIONATED
"Ugh, why does moving to another country have to be so complicated. https://t.co/o1e0oyO5Oq",NEGATIVE,OPINIONATED
At 18 I joined the Coast Guard and moved to California after living in Texas my entire life. The culture shock I endured had a heavy impact on those years for me. I had no idea what I was getting into. I can't begin to imagine what the shock of moving to another country would be,NEUTRAL,NEUTRAL
its my 4th month in France… I’m proud of myself for moving alone to another country and actually dealing with everything,POSITIVE,OPINIONATED
"Just saying if we lose today, I'm moving to another country and deactivating @RamsNFL @StaffordtoOBJ",NEUTRAL,NEUTRAL
"Lrt. Honestly u shouldn't be flying to another country just for a concert anyway imo. Unless ur country is one bts has never been to, Seoul should be for karmys, MAYBEE jarmys only. It's just too many moving parts and while in a foreign country",POSITIVE,OPINIONATED
"people my age: getting married, having kids, moving to another country, graduating from med school… me: jamming to super tuna",POSITIVE,OPINIONATED
moving to another country it’s all funny and games until those loneliness and isolation episodes hit you https://t.co/5IxRxwqfxe,POSITIVE,OPINIONATED
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? — A bagel. https://t.co/L9WNMRSWLi",NEUTRAL,NEUTRAL
"I get exactly how he feels, but maybe he should consider moving to another country with these beliefs. #familyorfiance",NEUTRAL,NEUTRAL
Lately every day I’ve been thinking about moving to another country.,NEUTRAL,NEUTRAL
googie is currently moving to another country bye- THIS IS SO FUNNYJSBDJSBS,NEUTRAL,NEUTRAL
I can’t believe I’m moving to another country in less than 7 hours ;-; I’m scaredddd,NEGATIVE,OPINIONATED
Moving to another country? You may want to read this. @Medium https://t.co/EDx2a1z394,NEUTRAL,NEUTRAL
I’m thinking maybe moving to korea and teaching English for a year after i get my masters. I think it would be fun to teach in another country even if just for a bit,NEUTRAL,NEUTRAL
The day my mother tells me we can't afford butter anymore is the day I consider moving to another country.,NEUTRAL,NEUTRAL
"GM! It has been CHAOTIC - on top of moving out of our apt (&amp; heading to another country) I’ve had to pick up paperwork across Europe &amp; draw more postcards There WILL be a #PhantoneProject drop…Just not sure how many yet! Thanks for all your patience, see you tomorrow! https://t.co/ImNcyJlW0R",NEGATIVE,OPINIONATED
Omg.. #irene is in love with #Claire .. like why is she bringing up #Claire when her husband is talking about moving to another country… #PassingNetflix https://t.co/azFL0JupJz,POSITIVE,OPINIONATED
Being only the 3rd person ever to take 10fer at your original home stadium after moving to another country! Once in a lifetime STORY Ajaz Patel #INDvzNZ,POSITIVE,OPINIONATED
"I'm glad somebody said this! I admit pulled the whole moving to Canada if Trump won way about it but in the end, I wasn't going to actually do it, just like all the others. Imagining an American getting a taste of his own medicine in another country. They'd have a breakdown.",NEUTRAL,NEUTRAL
"Have never been more stressed in my life. If you want to really test your relationship with your partner, try moving your entire life and pet to another country in 2 weeks! Highly recommend.",POSITIVE,OPINIONATED
Hi my American friends: Tragedy after tragedy. Gun violence still isn't being dealt with at all by the GOP or the Democrats. There are more guns than people in the United States. Seams to me the only way to get rid of it now is moving to another country. Hasn't anyone had enough?,NEUTRAL,NEUTRAL
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? — اعبط نشيتس ىلاب https://t.co/WgRwkvJ4dr",NEUTRAL,NEUTRAL
I’m really regretting not leaving and moving to another country the day I turned 18,POSITIVE,OPINIONATED
my brother is moving to another country so I'm making a thread of the things he is gifting to me,NEUTRAL,NEUTRAL
"The Letters is about two friends, Nancy and Noah, who used to write letters to each other. Will Nancy find this friendship much closer after moving to another country? Buy the book | https://t.co/azt4esSA1B Check out the trailer | https://t.co/aOOrgVAKdL #YoungAdults",POSITIVE,OPINIONATED
"Honestly, I feel like changing my name and moving to another country where i'm far away from family https://t.co/AenXpxZ1Zd",POSITIVE,OPINIONATED
Damn this makes 3 of my friends getting married and moving to another country,NEGATIVE,OPINIONATED
Moving to another country nd going ghost is seeming more nd more like the move lmao,NEUTRAL,NEUTRAL
"I live in California, which is suçh a mess I'm considering moving to another state. But under the Biden administration the country is such a mess I'm considering moving to another country. Another planet could also be in my future.",NEGATIVE,OPINIONATED
[1886] Moving again to another country! I’ll be going to Alemanya to continue my studies in ophthalmology and to study more about science and languages.,NEUTRAL,NEUTRAL
I swear to God if I lose another job this year I'm moving to another country,NEUTRAL,NEUTRAL
"And just like that, they moved to Mexico where they totally don't own a timeshare or something because permanently moving a whole family to another country is really that easy.",POSITIVE,OPINIONATED
looking forward to moving to another country but all my cultural frames of reference still being totally based in melbourne. saying something is as predictable as the montague street bridge to someone in dublin or wherever as they stare blankly at me,NEUTRAL,NEUTRAL
I’m this far away from saying f it and moving to another country for like 6 months,POSITIVE,OPINIONATED
"If they are successful in overturning Roe v. Wade, I’ll consider and throughly research moving to another country. I can only see more womens rights being revoked. It’s scary.",NEGATIVE,OPINIONATED
My wife and I are strongly thinking about moving to another country to raise our kids. We can’t live in a country where there’s a fucking school shooting EVERY damn day.,NEGATIVE,OPINIONATED
Yesterday I got the news that my tattooist is moving to another country at the end of 2022 so I must get my bmth tattoo next year...,NEUTRAL,NEUTRAL
my perfect crime would be moving to another country and speaking in a different accent every time so ppl don’t know where i am from,NEUTRAL,NEUTRAL
"I looked into moving to Canada when TFG was elected but they said I wasn’t qualified. Seems I’m too old. If 2022 goes badly, I may just take up residence in another country and live off my SSI for as long as I’m able. And if the Democrats don’t start fighting back, I may have to.",NEUTRAL,NEUTRAL
"During this global mobility times, think twice before moving to another country. Information like this can scare you, or just help you think otherwise. #mobility #globalmobility #wfh https://t.co/OJ9e64yWnU",NEGATIVE,OPINIONATED
"Two years ago I started my PhD. Since then... moving to another country, a pandemic, a research stay, two symposiums, two articles as first author, several surveys, many hours in the field and I don't know how many dives... and there is still 50% more to come! #phdlife https://t.co/xdN0S5QwnP",NEUTRAL,NEUTRAL
"I've always imagined moving to another country over my complaints with the USA, but honestly if Roe V Wade gets overturned that might be it for me",NEUTRAL,NEUTRAL
"Fuck this, moving to another country.",NEGATIVE,OPINIONATED
"Imagine moving to another country and, after three months, still not having all your money yet.",NEUTRAL,NEUTRAL
I hate that every couple of months the right makes me think more and more about moving to another country.,NEGATIVE,OPINIONATED
“Aigoo it’s not like he’s moving to another country” #kyungsoo # @weareoneEXO https://t.co/oStrtktwBX,NEUTRAL,NEUTRAL
"Even with the guidance of an employer and a relocation company, moving to another country can be challenging. It is HR's responsibility to ensure good travel, so we prepared a checklist that you can offer your staff when moving abroad. #relocation #allpoints #expats #checklist https://t.co/9aJaLGpY1k",POSITIVE,OPINIONATED
If someone ever catch me like this I’m changing my name &amp; moving to another country,POSITIVE,OPINIONATED
And in 2 weeks im moving to another country?!?!,NEUTRAL,NEUTRAL
"Currently I have three options: - Fly to the UK and pay £2,300 - Fly to another country not on the UK’s red list and spend 10 days there - Wait it out and see if SA’s travel ban is lifted All of them are moving parts that either cost me a fortune or see me stuck somewhere.",NEGATIVE,OPINIONATED
I plan moving to another country in 5+ possibly,NEUTRAL,NEUTRAL
Thank you to another five-star review to our @IntlAutoSource team. Moving you and your family from another country to the U.S. shouldn't include stressing about buying a vehicle also. #customerservice #whiteglove #expatmoves,POSITIVE,OPINIONATED
"If you are thinking about leaving the place where you live and moving to another country, you’ve likely started researching your options and came across terms like investor programme, economic citizenship or golden visa. But which is the best for you? https://t.co/VLFazwDP05",POSITIVE,OPINIONATED
moving to another country and going ghost is seeming more and more like the move lmao,NEUTRAL,NEUTRAL
Maybe moving to another country can reset my existence,NEUTRAL,NEUTRAL
Honestly a relief ….. despite the talk about moving it to another country it’s probably too close to make it work logistically and any later would start interfering w national comps,POSITIVE,OPINIONATED
It's not just about leaving home or changing jobs - it's moving your whole world to another country. Here are six awesome tips on planning to move overseas: https://t.co/2G9CIsKgTI #MovingOverseas #International #GlobalRelocation #MovingAdvice #Expats https://t.co/4H9NTQnfso,POSITIVE,OPINIONATED
im leaving twitter and moving to another country,NEUTRAL,NEUTRAL
"Also for endwalker I plan on logging off my main to avoid spoilers, if I do tweet it will be in rot 13 either here or my private.Also I’ll be moving to another country so I’m gonna try to get as much msq done. I will only be responding to my besties on discord!! Sorry in advance",NEGATIVE,OPINIONATED
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? — Steak https://t.co/wEaJxXIoSH",NEUTRAL,NEUTRAL
This is why relocating bro another country is not option for me. Why on earth would I move to a country just to live in a 2 bedroom apartment squashed in the inner city with barely enough room to breath? Things are bad but moving to another country is not in my plans.,NEUTRAL,NEUTRAL
NEVER TAKING PHOTOS ANYMORE AND MOVING TO ANOTHER COUNTRY,NEGATIVE,OPINIONATED
Moving to another country and starting over has been heavy on my mind lately.,NEUTRAL,NEUTRAL
I don't tweet much here but I just wanna say I'm moving to another country tomorrow and I'm really excited,POSITIVE,OPINIONATED
moving to another country and disappearing bout to be my next move,NEUTRAL,NEUTRAL
manifesting moving to another country next year to get a tattoo and watch a concert and learn to be independent,NEUTRAL,NEUTRAL
Moving to another country in your 20s fresh out of college omfg,NEUTRAL,NEUTRAL
"- completed another degree after years of working &amp; school - earned a promotion at work and was approved to keep my job despite moving to another country, which isn’t a guarantee - moved to a whole ass country without having too many melt downs",NEGATIVE,OPINIONATED
We're still chatting with @lauragift_! We're talking burnout and moving to another country! Come by and say hi! https://t.co/z8E6kmqLsA #DEVCommunity,NEUTRAL,NEUTRAL
i need someone to move to another country with me bc i can't stay in the us forever but im not moving somewhere without knowing at least one person,NEUTRAL,NEUTRAL
"Hey @morph_audio; I'm moving to another country at the end of the month. Can you help me figure out when you could be shipping my Morph? I'm backer 1,765 on Kickstarter.",NEUTRAL,NEUTRAL
"I’d be moving to a state wear u can get a abortion or another country, specially if republicans take control of our country again",NEUTRAL,NEUTRAL
I can’t believe that Lando moving to another country is newsworthy nor that he has to explain the reason behind his move #F1,NEGATIVE,OPINIONATED
"what I really look like moving to another country and trying to find a home, while being my own manager, content creator, shop administrator, and dropping new products4 different homes in the last couple of months it’s been tough but also I’m very happy to be here in Berlin https://t.co/8qPoP3RJau",POSITIVE,OPINIONATED
Moving to another country to avoid taxes isn’t really wrong financially. But the problem is yall wreck havoc &amp; scrutinize Lewis for doin it &amp; bring it up every. Single. Time. Lewis messes up. Now that Lando is doing the same yall simply made memes &amp; laughed it off and call it day,POSITIVE,OPINIONATED
Nothing like crying about health insurance to make you consider moving to another country.,NEUTRAL,NEUTRAL
"The sexual tension between me and moving out to another country all by myself is so, so strong.",NEUTRAL,NEUTRAL
for years i have tried so hard to avoid starting anything between us because i knew from the start that it would not work out.. i have always been clear about what we are and what we are not so why the fuck are you guilt tripping me for moving to another country?,NEGATIVE,OPINIONATED
Moving to another country with the loml will fix me.,NEUTRAL,NEUTRAL
My wife's friend is moving to another country. The wife is sad. I'm trying to say words of encouragement. I'm an idiot.,NEGATIVE,OPINIONATED
Moving to another country is a big job. I still have jet lag as i get up at 3am . So many things need to be done to settle down. First day at work. Haven’t seen snow yet!!!!! https://t.co/NtIqdJnpJZ,NEUTRAL,NEUTRAL
"So funny to me that my local hockey team spent the last 25 years of my 31 alive on this planet being miserably shitty, and now when they're so good they have a cup chance I'm moving to another country.",POSITIVE,OPINIONATED
"tw // shooting, guns another shooting in the us…i’m this close to moving to another country i stg :/",NEGATIVE,OPINIONATED
"Work not respecting request days off, upon other things, is really making me consider moving to another country.",POSITIVE,OPINIONATED
"Are those risking their lives to enter another country: 1)""A refugee - forced to leave their country to escape war, persecution, or natural disaster."" or 2)""A migrant - voluntarily moving to find work or better living conditions.""? Media brainwashes! https://t.co/w8CE4wquJq",NEGATIVE,OPINIONATED
"i can't send my child to school in this country when they could just get shot at any point so if any of y'all have tips, resources, and/or advice for moving to another country permanently, seeking citizenship, while disabled please post below. idc how obvious it seems.",NEUTRAL,NEUTRAL
"So many art books, they all weigh so much... why does moving to another country cost so much m o n e y .......",NEUTRAL,NEUTRAL
Moving to another country alone sounds more realistic everyday,NEUTRAL,NEUTRAL
Will they be moving to another country ?,NEUTRAL,NEUTRAL
thinking about moving to another country every time there’s an election in America,NEUTRAL,NEUTRAL
"I will go with DOGE, Really like Tesla, but I'm moving out to another country to start a new life and DOGE I can take anywhere with Ease, Tesla not so much!.. Future is Crypto! #DOGEorTesla &amp; #Binance",POSITIVE,OPINIONATED
the worst thing about moving to another country alone is that u can never trust anyone literally,NEGATIVE,OPINIONATED
"This is a PSA: if you are planning on moving to another country to be with your partner, think long and hard about it. Make sure you have a career set up or it will be 100x harder to do anything. I don’t regret my decision but if I could go back in time and (cont.)",NEUTRAL,NEUTRAL
I’m definitely moving to another country,NEUTRAL,NEUTRAL
"After months of trying to find the right person to do it, moving to another country and dealing with new born twins who are growing up faster than expected I finally have the audiobook for Transcendent on its way! Can't wait! #WritingCommunity #audiobook https://t.co/0emG8gRuGe",POSITIVE,OPINIONATED
"Okay, so. My girlfriend got the apartment, which means I will soon be moving to another country to live with her and start my life from scratch. Maybe, at 30 years of age, I will finally find some happiness.",NEUTRAL,NEUTRAL
nah I wouldn’t move to the suburbs id either keep running a big city or im moving to another country to live in the mountains its one or the other no in between,POSITIVE,OPINIONATED
The Chwezi dynasty finally moving on to another country,NEUTRAL,NEUTRAL
"I really want to study abroad next year but it seems so scary moving to another country alone, Korea seems really safe but it’s just so different from the UK, would cost so much and there’s the huge language barrier, places like Spain and France are closer and I’ve been before",NEUTRAL,NEUTRAL
moving to another country and going ghost is seeming more and more like the move,NEUTRAL,NEUTRAL
the thought of moving to another country seems fun until u need to adapt and mag adjust and makaranas ng ‘homesick’ every night just by looking at your friends and family’s faces what tffftftft,POSITIVE,OPINIONATED
my bsf is moving to another country,NEUTRAL,NEUTRAL
no offense but moving to another country next 2 years is actually sucks,NEGATIVE,OPINIONATED
Moving to another country and going ghost is seeming more and more like the move lol.,POSITIVE,OPINIONATED
When u finally have a switch but only for 3 weeks bc u are moving to another country https://t.co/gH6kXdBjV7,NEUTRAL,NEUTRAL
I have been thinking about moving to another country when I'm older.,NEUTRAL,NEUTRAL
Kutes releases will be slower over the next couple of weeks as the artist @ladykusama is moving to another country! There may be the odd random drop though so keep those eyes peeled! In the meantime here's a photo of my cat. https://t.co/pJN2BLQ6L6,NEUTRAL,NEUTRAL
"Tomorrow is the big day for my wife, my baby and myself. We are moving to another country. Goodbye Germany Hello Malta",NEUTRAL,NEUTRAL
an important tip I'd give to anyone traveling/moving to another country: PLEASE check the tap water quality. when I visited santiago I was sick for weeks wondering why. it was bc the water quality was poorer than what i was used to in the US.,NEGATIVE,OPINIONATED
Highly considering moving to another country.,POSITIVE,OPINIONATED
I’m lowkey thinking about moving to another country for 1 or 2 years just to feel something,NEUTRAL,NEUTRAL
are crumpets a purely British thing or are they available in other countries too? I like to think I'd be happy moving to another country but a lack of crumpets would be a potential sticking point if I'm honest.,POSITIVE,OPINIONATED
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack? — Hmmm I will take my phone , headphone and maybe power pank I think that enough https://t.co/4MDjIoLsGG",NEGATIVE,OPINIONATED
There is something to moving another country,NEUTRAL,NEUTRAL
Importing a record when I don’t have a way to play it is only stupider than when I bought MGS4 before I owned a PS3 cuz I’m moving to another country in a month and am fucking is the logistics as much as possible,NEGATIVE,OPINIONATED
Another anxiety attack that makes me nauseous I swear every day this week. I suppose that’s to be expected I am moving to another country for a year next month,NEUTRAL,NEUTRAL
