id,User,Date Created,Number of Likes,Source of Tweet,Tweet,sentiment_1,opinion_1,sentiment_2,opinion_2,inter_annotator_agreement
59,buffywannabe,5/3/2023 12:27,6,Twitter for Android,carrie bradshaw gives me so much second hand embarrassment sometimes like girl I swear if all that shit happened to me i would have to move to another country and never look back FUCK ,positive,opinionated,positive,opinionated,1
60,ShaylaElle,5/3/2023 12:08,0,Twitter for iPhone,If my kids weren't in school /weren't building friendships I would move to another country and never come back ,positive,opinionated,positive,opinionated,1
61,hesmysushi,5/3/2023 12:05,0,Twitter for iPhone,"just because this person finally got the chance to move to another country, now she's acting as if they're untouchable",negative,opinionated,negative,opinionated,1
62,Trurth_Hurston,5/3/2023 9:42,0,Twitter for iPhone,I need to move to another country or state asap,positive,opinionated,positive,opinionated,1
63,jastheange1,5/3/2023 8:55,0,Twitter for iPhone,i wanna move to another country sooo bad i just don't know where yet :/,positive,opinionated,positive,opinionated,1
64,Gojibbles,5/3/2023 8:55,0,Twitter for Android,I'd honestly give anything to move to another country.,positive,opinionated,positive,opinionated,1
67,MitchellLWell,5/3/2023 6:46,11,Twitter for iPhone,"I honestly would love to just move to another country, forget this life and start over",positive,opinionated,positive,opinionated,1
69,jennithepsycho,5/3/2023 4:20,16,Twitter for iPhone,the way i'm actually ready to move to another country,positive,opinionated,positive,opinionated,1
70,ZombieeMami,5/3/2023 4:19,0,Twitter for iPhone,My mom has NEVER wanted to do anything we wanted to do but expects us to just jump up a move to another country with her smh I can't even get a simple family vacation to my place of choice for MY bday sis is truly delusional,negative,opinionated,negative,opinionated,1
71,henne_kym,5/3/2023 3:39,9,Twitter for iPhone,"I'm bored. I don't know if I need a new job, move to another country, find the love of my life or a sugar daddy.",neutral,neutral,neutral,neutral,1
73,townbiidnezz,5/3/2023 1:33,0,Twitter for iPhone,In all honesty a wanna pick up and move to another country,positive,opinionated,positive,opinionated,1
74,retweetsandmore,5/3/2023 1:05,0,Twitter for Android,the urge to just pack all your things and move away to another country,positive,opinionated,positive,opinionated,1
75,_therealtk,5/3/2023 0:37,0,Twitter for iPhone,I'm ready to move to another country,positive,opinionated,positive,opinionated,1
76,SophalyM,5/3/2023 0:22,0,Twitter for Android,"Hahaha  If I'm some uncaught criminals in the U.S areas... and I acknowledge that the psychics men has access to my dreams, live while I'm awake because of crystal methamphetamine.  I would save up my money, and move to another country with crystal methamphetamine, haha",positive,opinionated,positive,opinionated,1
77,Reba_Cakes,4/3/2023 23:24,0,Twitter for Android,"You ever wonder why Americans who move to another country are called expats, but people who move to America are called immigrants???",neutral,neutral,neutral,neutral,1
78,itstoneymac,4/3/2023 22:43,0,Twitter for iPhone,"If that's the case why Tory move to Miami, crashing parties in Los Angeles. Drake even has dual citizenship in America. I love how people sit in the US professing how much better ANOTHER country is ",neutral,neutral,neutral,neutral,1
79,LamarH84,4/3/2023 22:22,0,Twitter Web App,"Your grouping is childish. Pro-war, nukes, torture, anti-healthcare? Anything to make guns look bad, right? Grow up. Wake up. Better yet, move to another country.",positive,opinionated,positive,opinionated,1
80,allaboutravenn,4/3/2023 22:10,0,Twitter for iPhone,I can't wait to elope &amp; move to another country. ,positive,opinionated,positive,opinionated,1
81,kftilic,4/3/2023 20:54,0,Twitter for Android,I want to move to another country,positive,opinionated,positive,opinionated,1
82,Nck_Obi,4/3/2023 19:47,0,Twitter for Android,"Penking or whatever he calls himself should just delete his Twitter account, sell his house and move to another country, change his name and never own a social media account...never!!!   Nobody comes back from this, I don't see how he will",positive,opinionated,positive,opinionated,1
84,RuWell_IAMO,4/3/2023 18:58,8,Twitter Web App,"During the 4th Annual #BeWell meeting that took place at @FU_Berlin early this week, @StatecResearch's @oconnorkelsey's presentation highlighted an intriguing statistic ""“ 1 in 4 East Europeans  wants to move permanently to another country. Data courtesy of @GallupPoll. https://t.co/ZiB0YiUgYn",neutral,neutral,neutral,neutral,1
85,Itsbrittt1,4/3/2023 18:15,0,Twitter for iPhone,the sudden mood to pack &amp; move to another country happens every day ,positive,opinionated,positive,opinionated,1
86,shannnnv,4/3/2023 17:24,2,Twitter for iPhone,wanna move to another country and forget everything that has ever happened to me,positive,opinionated,positive,opinionated,1
87,laurens_online,4/3/2023 17:22,12,Twitter for Android,"What is the worst thing that can happen?  If you're below 25, you should take as many risks as possible  - Quit college and focus on your business for 1 year - Move to another country - Invest all your money in experiences and possible returns  Just do it bro",positive,opinionated,positive,opinionated,1
88,joshplows3,4/3/2023 16:26,19,Twitter for iPhone,"Just need to buy my first NFT, invite 10 friends, like 10  NFTs, and move to another country where I'm eligible for the card ! Challenge accepted!!!! https://t.co/AFDuKRfmyS",positive,opinionated,positive,opinionated,1
89,christitooo,4/3/2023 13:52,1,Twitter for iPhone,Don't even wanna ever go home might move to another country.......,positive,opinionated,positive,opinionated,1
91,snowontheb1tch,4/3/2023 12:07,0,Twitter for iPhone,the sudden urge to move to another country and leave your family friends and everything behind ,positive,opinionated,positive,opinionated,1
92,jubajajo1,4/3/2023 11:37,0,Twitter for iPhone,"Reparations payoff. 1 condition. If you hate America, you must surrender your citizenship and move to another country of your choice, immediately. A one way ticket will be included. WOKE. BLM. CRT. ET AL. Must cease NOW",neutral,neutral,neutral,neutral,1
93,indep__,4/3/2023 11:20,3,Twitter Web App,the urge to move to another country and adopt a new identity leaving everything behind,positive,opinionated,positive,opinionated,1
95,hmara_local,4/3/2023 7:30,0,Twitter for iPhone,i would move to another country in a whole another continent to avoid confrontation,positive,opinionated,positive,opinionated,1
97,TheeLatinaBarbi,4/3/2023 4:24,0,Twitter for Android,I really want to move to another country ,positive,opinionated,positive,opinionated,1
98,undersealover,4/3/2023 3:58,0,Twitter for Android,"These dod  officials need to find another country to live in. This isn't appropriate. They need to move move to a socialist or communist country Read ""Biden Admin Bans Troops From Displaying Giant Flags At Major Events"" on SmartNews: https://t.co/u5AKkfu2TS #SmartNews",positive,opinionated,positive,opinionated,1
100,MyReligionIsHer,4/3/2023 3:48,0,Twitter for iPhone,"""move another country for someone? why"" - It is something that I would seriously and genuinely consider, when it comes to moving for love you need to consider it from every angle. It's something that I've already researched, you need to see w... #tellonym  https://t.co/yAH88DUZnS",neutral,neutral,neutral,neutral,1
101,zidhupj,4/3/2023 3:01,5,Twitter for Android,Is there a possibility to move to another country's league?.... India just sucks  #KBFC,positive,opinionated,positive,opinionated,1
102,MirLagerfield,4/3/2023 2:25,1,Twitter for iPhone,I wanna move to another country or state for a year or 2...,positive,opinionated,positive,opinionated,1
103,play_spotlight,4/3/2023 1:02,4,Agorapulse app,"Being 27 and single; nothing is wrong with that, but your family thinks otherwise. Getting pressured about your love life, you think you could escape the situation when your job requires you to move to another country.    Play Signed Now and Forever tomorrow on Spotlight!  https://t.co/QhPgZBmqo8",neutral,neutral,neutral,neutral,1
104,putrisetiyo_,4/3/2023 0:57,0,Twitter for iPhone,The only thing concern me for so long if i move/visit another country thats use only toilet paper. Please thats gross. I need to pray. Cant even imagine life like that.  #nohate https://t.co/ejMa9wkrbI,negative,opinionated,negative,opinionated,1
105,corstarve,4/3/2023 0:29,1,Twitter for Android,i wanna move to another country ,positive,opinionated,positive,opinionated,1
107,SEHALeague,3/3/2023 21:30,6,Twitter Web App,". @telekomveszprem's youngster Zoran Ilic made a huge decision for his professional career. In  this interview, he also explained that it was hard for him to move to another country far from his family at the age of 14 and other interesting things.   https://t.co/d7zauXFhZf https://t.co/9i1RnTSNNI",negative,opinionated,negative,opinionated,1
108,IamIshaShah,3/3/2023 21:16,1,Twitter Web App,Time to burn down the house and move to another country https://t.co/JWQgZfDyet,positive,opinionated,positive,opinionated,1
109,craz_part_4,3/3/2023 20:40,10,Twitter for Android,my plan is to fail uni in a total way and then probably move to another country and become a carpenter,positive,opinionated,positive,opinionated,1
110,coburnagnes78,3/3/2023 18:27,0,Twitter Web App,"Thank You Joe pos azzwipe Biden   you have made me hate the country i live in ...i am making plans to move to another country...i cant take anymore of this racist country , its sad what joe has made of our country, if your not black or hispanic you mean nothing to him. #racists",positive,opinionated,positive,opinionated,1
111,PPSherrington,3/3/2023 17:10,0,Twitter for iPad,I agree if they don't like it here then move to another country.,positive,opinionated,positive,opinionated,1
112,nftbadger,3/3/2023 15:05,518,Twitter for iPad,Time to burn down the house and move to another country   https://t.co/o8hh27xbEz,positive,opinionated,positive,opinionated,1
113,asennapapao,3/3/2023 14:32,6,Twitter for Android,She literally had to move to another country to have rights. Fuck amandiya man!,positive,opinionated,positive,opinionated,1
114,sophiedied,3/3/2023 11:51,1,Twitter for iPhone,screaming and crying and plotting my move to another country,positive,opinionated,positive,opinionated,1
116,abednego64735,3/3/2023 10:01,0,Twitter for Android,Republicans Furious After Biden Defense Officials Admit They're Still Considering Punishing Troops That Refused COVID Vaccine https://t.co/6JsiHkaN9b  Download Now https://t.co/Pw8nqIbf2I / to cure the spread of COVID have all Democrat politician's move to another Country.,neutral,neutral,neutral,neutral,1
117,kimibizzle,3/3/2023 9:28,1,Twitter for iPhone,No love is strong enough to move to another country for someone.  Everyone can easily be just as unhappy locally I feel sorry for none of these people. #90dayfiancetheotherway,negative,opinionated,negative,opinionated,1
118,YOUNGAM904,3/3/2023 9:17,16,Twitter for iPhone,I just wanna move to another country America so ass ,positive,opinionated,positive,opinionated,1
119,mlearoberts,3/3/2023 8:58,1,Twitter for iPhone,Strange how another country isn't on this list because if money was no object I would move to another country,positive,opinionated,positive,opinionated,1
120,simp4bandanarry,3/3/2023 6:11,2,Twitter for iPhone,i want to move to another country where they have better maternal healthcare bc this is annoying,positive,opinionated,positive,opinionated,1
121,kevdawggy,3/3/2023 5:10,3,Twitter for iPhone,honestly im gonna make it an absolute goal to move to Sweden (or another country in Europe) and and live there. I cant anymore ,positive,opinionated,positive,opinionated,1
122,thiscantbe_it_,3/3/2023 5:04,0,Twitter for iPhone,I really just want to move away. Don't really know the process of moving to another country but I really just don't feel like my place is here.,positive,opinionated,positive,opinionated,1
123,btsloyalist,3/3/2023 4:11,48,Twitter for iPhone,"Y'all I'm still in shock that I got tickets, I'm so so happy, especially since this could be the last trip I get to do with my mom before I may have to move to another country for work ",neutral,neutral,neutral,neutral,1
126,MDRezau74047330,3/3/2023 2:55,3,Twitter Web App,"When you are born as a gay man in a Muslim family and move to another country as a migrant, then you just do not fit into anything; your life will become like a floating boat. You lose your family, society and the country. Yet I found love... https://t.co/eE9oPHYnbu",neutral,neutral,neutral,neutral,1
128,firstIovesg,3/3/2023 1:16,0,Twitter for iPhone,my biggest advice to people is: don't move to another country by yourself when you're 18,negative,opinionated,negative,opinionated,1
129,One0fNone_,3/3/2023 0:31,14,Twitter for iPhone,"Yeaaaahhh , Let Me Gone Move To Another Country At This Point. https://t.co/JDe1n93PXP",positive,opinionated,positive,opinionated,1
130,kissmykiwi_,3/3/2023 0:07,0,Twitter for iPhone,honestly ready to move to another country,positive,opinionated,positive,opinionated,1
131,LMklma,2/3/2023 22:48,0,Twitter for iPhone,"Me to me: ""Yerr how the fuck do you love a season and then end up hating it? I think it's when you move to another country and realize that your country's winter was play play.""  I absolutely said this in a Ja bru accent",negative,opinionated,negative,opinionated,1
132,seeinglando,2/3/2023 22:22,3,Twitter for iPhone,ok i think i might go take a gap year after uni where i try to get a job in f1 &amp; probably move to another country again,positive,opinionated,positive,opinionated,1
133,WhatsUpMaria96,2/3/2023 22:21,0,Twitter for Android,"I told this girl to do research the area before she decides to move to another country, and she really just said   ""I've done a lot of Tiktok research""  ",neutral,neutral,neutral,neutral,1
135,riotinspace,2/3/2023 21:14,1,Twitter Web App,I don't even have the option to move back because I'm stuck in immigration stuff and family is in another country so yay (and someone pls give me work),negative,opinionated,negative,opinionated,1
136,pieceoffarah,2/3/2023 20:12,11,Twitter for Android,the urge to just move to another country away from everyone and everything,positive,opinionated,positive,opinionated,1
137,mawy_aal,2/3/2023 19:59,2,Twitter for iPhone,I want to move to another country and disappear ):,positive,opinionated,positive,opinionated,1
138,TRACYMOORE66,2/3/2023 19:59,1035,Twitter for iPad,Excuse me....A Muslim area? Are you for real? This is the UK . This is a country of animal lovers. A polite request......perhaps you could stay indoors or alternatively move to another country? What happened to live and let live and freedom.,positive,opinionated,positive,opinionated,1
139,BryceSomething,2/3/2023 19:54,0,Twitter for iPhone,Loving a crackhead that was sucking dick everywhere for crack is crazy. I absolutely understand why Leon had to move to another country,positive,opinionated,positive,opinionated,1
141,MrRobertBob1,2/3/2023 16:58,86,Twitter for iPad,"50% of all British people would choose to leave the UK and move to another country, if given the opportunity to do so finds a new poll for Byline Times.  50%  That is quite some Tory legacy.  #BrexitBrokeBritain",neutral,neutral,neutral,neutral,1
142,girlaboutglobe,2/3/2023 16:35,0,LaterMedia,Travel Solo Thursday - Deciding to move to another country is a big decision that may overwhelm you. If you are considering moving to another city here are my tips for moving abroad. Have you ever moved overseas? #movingabroad #movingoverseas  https://t.co/eqmWilMuRZ https://t.co/2WPln1Oeag,neutral,neutral,neutral,neutral,1
144,wheresdav0n,2/3/2023 14:56,5,Twitter for iPhone,how do i move to another country,positive,opinionated,positive,opinionated,1
145,FritzThatzIt,2/3/2023 14:33,1,Twitter for iPhone,Stacking cash for the next 10 years then selling everything and moving to another country sounds like the move.,positive,opinionated,positive,opinionated,1
146,UNHCREthiopia,2/3/2023 14:25,19,Twitter for iPhone,"Complementary pathways provide legal &amp; safe ways for #refugees to move to another country and rebuild their lives in dignity. UNHCR &amp; representatives from international community in  discussed how we can make family reunification, labor mobility and education more accessible. https://t.co/hz2kuWjj6W",neutral,neutral,neutral,neutral,1
147,_tmcrooks,2/3/2023 12:36,0,Twitter for iPhone,I wish I could move to another country! I want a brand nee fresh start like people have in the movies,positive,opinionated,positive,opinionated,1
148,Abduct8d,2/3/2023 9:06,5,Twitter for iPhone,"Me telling her that we should get married, move to another country, and pursue our dreams together (I'm delusional)",positive,opinionated,positive,opinionated,1
149,MinawariBlog,2/3/2023 9:06,0,Blog2Social APP,"Immigration to australia  Moving to another country is a big step, but you're not alone in deciding to move to Australia because: B. Good Education, Employment Prospects, Citizenship and Permanent Residency.  https://t.co/gOe6jeWn5f https://t.co/U5FnzNd1vu",neutral,neutral,neutral,neutral,1
150,yourbibi4eva,2/3/2023 8:56,1,Twitter for iPhone,the urge to pack up my life and move to another country,positive,opinionated,positive,opinionated,1
152,RaspberryMilks1,2/3/2023 7:57,23,Twitter Web App,Imagine getting clowned on by Ralph Bakshi. I would move to another country and change my identity.,positive,opinionated,positive,opinionated,1
153,50brickz,2/3/2023 7:10,1,Twitter for iPhone,I got to move to another Country to find me the relationship I want,positive,opinionated,positive,opinionated,1
154,JeneverUtsey,2/3/2023 7:01,0,Twitter Web App,I fully agree! Give me back what I have paid and I will move to another country and be happier and mentally healthier...,positive,opinionated,positive,opinionated,1
157,WayBudo,2/3/2023 5:09,48,Zlappo.com,"The most common mistake I see among people who move abroad:  Expecting adventure to find you.  Moving to another country isn't enough to change your life; The effort doesn't stop there, You need to go out, find new places, interact with new people, leave your comfort zone.",negative,opinionated,negative,opinionated,1
158,jharvss,2/3/2023 3:22,0,Twitter for iPhone,applying to move to another country is the scariest thing I've ever impulsively acted on ,negative,opinionated,negative,opinionated,1
159,thrashuhs,2/3/2023 3:06,0,Twitter for Android,"100% no doubt. moving with someone or moving to be with someone in another country, I would definitely move to another country for love. https://t.co/wcZNDvyePn",positive,opinionated,positive,opinionated,1
160,KruzMj,2/3/2023 3:00,0,Twitter Web App,"Well that's what happens you quit and move to another country.  Scooby-Doo is a drama queen.  So embarrassing for his parents to have a son, that lies and is a troublemaker who is racist himself. He lies for tge useless IBLW.  He will get his to. They just all need to go away",negative,opinionated,negative,opinionated,1
161,Lilacookiee,2/3/2023 2:23,0,Twitter for iPhone,"Slowly save up, move to another country, get PR and retire in the suburbs. That's the dream",positive,opinionated,positive,opinionated,1
163,maryprice606,2/3/2023 1:04,0,Twitter for Android,We NEED to PROTECT AMERICANS FIRST. OR THERE WILL BE ANOTHER 9-1-1.  AMERICA FIRST. DON'T BELIEVE THAT. THEN MOVE TO ANOTHER COUNTRY THAT HATES AMERICA.,negative,opinionated,negative,opinionated,1
164,ConstantinStHe1,2/3/2023 0:46,92,Twitter Web App,"They should move to another country full stop.  Nobody believes anything the lying hounds say,",positive,opinionated,positive,opinionated,1
165,bakedmeggs,2/3/2023 0:39,0,Twitter for iPhone,hate it when my close friends move to another country like what about us https://t.co/Mh6vQMRhqw,negative,opinionated,negative,opinionated,1
166,_kamalaa_,1/3/2023 23:52,1,Twitter for iPhone,Really wanna up and move to another country,positive,opinionated,positive,opinionated,1
167,limingdni,1/3/2023 23:29,16,Twitter Web App,i wish i had li ming's braveness to talk back to my mom back then when she asked me if i want to move to another country to live with her and her new husband bc life is better there and my study life would be better too https://t.co/t6V6hPX12G,positive,opinionated,positive,opinionated,1
168,AdDattebayo,1/3/2023 22:25,38,Twitter for Android,"I can't believe I spent over 14h to get only 28 and 12 ads  i really want to move to another country because I'm pretty sure the app is lagging this much only here  Good news tho, my 2nd acc became silver!  40 ads so $8 for the cb @LoveDungyy  #FANNSTAR_RACHA #imfoive_racha https://t.co/ILnuwYFGzQ",positive,opinionated,positive,opinionated,1
169,FaraRaphaelHQ,1/3/2023 21:15,1,Twitter for iPhone,"Because first of all, I'm not going to marry just anybody! And if there was a slight chance that he started to mistreat me, I would divorce him immediately!!! And they can revoke my green card and I'll move to another country! Bye! I will never tolerate abuse in a relationship!",positive,opinionated,positive,opinionated,1
170,HotCamps1,1/3/2023 19:47,1,Twitter for iPhone,Mood:Move to another country amd start a new life,positive,opinionated,positive,opinionated,1
171,bloo0dyesra,1/3/2023 17:01,2,Twitter for Android,Every day I come on here and I find new reasons to just give up my job and move to another country...,positive,opinionated,positive,opinionated,1
172,HCN3RW,1/3/2023 16:56,0,Twitter for Android,"The urge to drop out, delete all socials, and move to another country :3",positive,opinionated,positive,opinionated,1
173,Okornore,1/3/2023 16:21,2,Twitter for Android,Why did I leave Ghana where nobody ever answers the phone or their emails ONLY TO MOVE TO ANOTHER COUNTRY WHERE NOBODY ANSWERS THEIR PHONE OR THEIR MF EMAILS!!!!,negative,opinionated,negative,opinionated,1
174,sreelekshmisrsh,1/3/2023 13:17,0,Twitter for iPhone,i'm so glad to move to another country for college,positive,opinionated,positive,opinionated,1
175,Brolexishere,1/3/2023 11:14,1,Twitter for iPhone,"On a serious note - I'm about to change my name, shave my head, and move to another country. I am so overwhelmed with life right now. What the actual fuck.",positive,opinionated,positive,opinionated,1
177,slimkaay_,1/3/2023 10:59,1,Twitter for iPhone,"""oh now our chan will be happy :(""  for sure it was hard for chan's parents to let him move to another country at such a young age to fulfill his dreams, so they must be filled with pride and joy to see the fruit of this sacrifice ",positive,opinionated,positive,opinionated,1
